Cluster-0.0_NODE_17290_length_1162_cov_3.766108_g9163_i0.p1	263	tr|B0WD31|B0WD31_CULQU	566	1.43e-71	239	609	136	89.7	tr|B0WD31|B0WD31_CULQU Salivary secreted protein OS=Culex quinquefasciatus OX=7176 GN=6036578 PE=4 SV=1
Cluster-0.0_NODE_17290_length_1162_cov_3.766108_g9163_i0.p1	263	tr|B0WCU1|B0WCU1_CULQU	555	1.25e-16	90.1	222	265	25.7	tr|B0WCU1|B0WCU1_CULQU Secreted protein 2 OS=Culex quinquefasciatus OX=7176 GN=6036475 PE=4 SV=1
Cluster-0.0_NODE_17290_length_1162_cov_3.766108_g9163_i0.p1	263	tr|B0WD32|B0WD32_CULQU	490	8.01e-09	67.0	162	217	24.9	tr|B0WD32|B0WD32_CULQU Secreted protein OS=Culex quinquefasciatus OX=7176 GN=6036579 PE=4 SV=1
Cluster-0.0_NODE_17290_length_1162_cov_3.766108_g9163_i0.p1	263	tr|A0A1S4F4C8|A0A1S4F4C8_AEDAE	559	1.32e-06	60.5	145	221	24.9	tr|A0A1S4F4C8|A0A1S4F4C8_AEDAE Secreted protein OS=Aedes aegypti OX=7159 GN=5577914 PE=4 SV=1
Cluster-0.0_NODE_17290_length_1162_cov_3.766108_g9163_i0.p1	263	tr|Q17FP2|Q17FP2_AEDAE	545	3.15e-06	59.3	142	209	25.4	tr|Q17FP2|Q17FP2_AEDAE AAEL003337-PA OS=Aedes aegypti OX=7159 GN=AAEL003337 PE=4 SV=1
Cluster-0.0_NODE_17290_length_1162_cov_3.766108_g9163_i0.p1	263	tr|A0A182H7V2|A0A182H7V2_AEDAL	558	4.27e-06	58.9	141	220	22.7	tr|A0A182H7V2|A0A182H7V2_AEDAL Secreted protein OS=Aedes albopictus OX=7160 GN=RP20_CCG023624 PE=4 SV=1
Cluster-4.0_NODE_23550_length_721_cov_3.757225_g13277_i0.p1	240	tr|A0A8D8BCY6|A0A8D8BCY6_CULPI	422	1.02e-151	438	1126	240	93.3	tr|A0A8D8BCY6|A0A8D8BCY6_CULPI Carboxylic ester hydrolase OS=Culex pipiens OX=7175 PE=3 SV=1
Cluster-4.0_NODE_23550_length_721_cov_3.757225_g13277_i0.p1	240	tr|A0A8D8B9M5|A0A8D8B9M5_CULPI	564	1.10e-149	438	1126	240	93.3	tr|A0A8D8B9M5|A0A8D8B9M5_CULPI Carboxylic ester hydrolase OS=Culex pipiens OX=7175 PE=3 SV=1
Cluster-4.0_NODE_23550_length_721_cov_3.757225_g13277_i0.p1	240	tr|B0X4Q0|B0X4Q0_CULQU	566	4.08e-145	426	1096	240	90.4	tr|B0X4Q0|B0X4Q0_CULQU Carboxylic ester hydrolase OS=Culex quinquefasciatus OX=7176 GN=6047580 PE=3 SV=1
Cluster-4.0_NODE_23550_length_721_cov_3.757225_g13277_i0.p1	240	tr|A0A182INH9|A0A182INH9_9DIPT	623	1.81e-73	244	623	233	54.9	tr|A0A182INH9|A0A182INH9_9DIPT Carboxylic ester hydrolase OS=Anopheles atroparvus OX=41427 PE=3 SV=1
