transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-100188.0_A0.TRINITY_DN3407_c2_g1_i7	46.7553195663548	2.47486179713128	0.42473977660115	5.8267719047545	5.65097636149087e-09	2.35185206532004e-06
Cluster-103630.0_A1.NODE_107801_length_1491_cov_6.008427_g46354_i0	6.34187312195277	5.43643571006516	1.28569405913799	4.22840540595645	2.35353429146047e-05	0.00651803534590337
Cluster-104712.3_A1.NODE_93399_length_1771_cov_4.992958_g37966_i0	6.24029949255413	5.41640403856852	1.13288727073038	4.78106178655932	1.74371754860602e-06	0.000569862781248232
Cluster-108867.3_A0.TRINITY_DN715_c0_g1_i4	7.52575892916412	6.29029441136377	1.69477470925563	3.71158147275313	0.000205968349674128	0.0447777569892561
Cluster-109105.0_A1.NODE_118123_length_1331_cov_4.583070_g53010_i0	4.11550076667824	4.78297459682706	1.06957845915443	4.47183145461654	7.75525413690492e-06	0.00233679766602392
Cluster-109226.1_A0.TRINITY_DN10288_c0_g1_i9	10.4626565778059	-6.9704934082566	1.75387884746006	-3.97433005042005	7.05776363787641e-05	0.0175175553858126
Cluster-109987.0_A1.NODE_136724_length_1107_cov_3.955769_g66596_i0	3.54081332387764	4.57289338144602	1.23559206162207	3.70097342276769	0.000214773972980443	0.0463576389616913
Cluster-110792.0_A0.TRINITY_DN257837_c0_g2_i1	4.84828511653117	-3.5977189889285	0.883571424326513	-4.07179192295721	4.66528461582419e-05	0.0122878866247458
Cluster-112458.1_A0.TRINITY_DN55054_c3_g1_i9	6.42185343456966	-6.28245214587325	1.24322188351194	-5.05336354611628	4.34096486137052e-07	0.000155715577392672
Cluster-113110.0_A1.NODE_82643_length_2044_cov_5.120384_g32578_i0	6.97687666396576	6.18180867453959	1.26335530777907	4.89316713712706	9.92260699587736e-07	0.000338986405304283
Cluster-114058.0_A0.TRINITY_DN41482_c0_g2_i6	8.00940038213754	6.37894900796511	1.71383792921892	3.72202581073248	0.000197630815368612	0.0433404090431146
Cluster-115367.1_A0.TRINITY_DN27725_c0_g1_i17	2.80727844556168	4.24239561445955	1.11830385871632	3.79359829745139	0.000148479812663561	0.0339450987800902
Cluster-119153.0_A1.NODE_91604_length_1813_cov_184.191294_g36998_i0	90.9713369341868	-8.3309631876171	1.90828585242065	-4.36567885102188	1.26728559144118e-05	0.00372179298091494
Cluster-122783.2_A0.TRINITY_DN39691_c1_g1_i2	6.42632120737582	-6.26723859932857	1.50293405280156	-4.17000239474652	3.04596438253551e-05	0.00825363215662621
Cluster-1321.0_A0.TRINITY_DN72378_c0_g3_i4	3.23468997011635	-4.64498611445043	1.1902115241139	-3.9026559736166	9.51428883460077e-05	0.0228979751043469
Cluster-15201.0_A1.NODE_46882_length_3491_cov_6.659463_g18376_i0	21.0103474233219	-7.39471158439662	1.92222594385728	-3.84695233566449	0.000119596224760628	0.0281095906805171
Cluster-1590.0_A1.NODE_120802_length_1294_cov_4.607172_g54872_i0	5.73411158745194	-5.4898216606277	1.31444613681541	-4.1765284303914	2.95991762837255e-05	0.00803492306257621
Cluster-1730.0_A1.NODE_68954_length_2472_cov_5.928898_g26825_i0	12.4809870880402	-6.04436893985363	1.53346843724482	-3.94163244123468	8.09289280180779e-05	0.0198254818963831
Cluster-19305.0_A1.NODE_113923_length_1393_cov_3.918552_g50234_i0	5.65675392460027	4.67700722323708	1.18914198886982	3.93309400140029	8.38594240848331e-05	0.0204767860181473
Cluster-21828.2_A0.TRINITY_DN62162_c0_g1_i2	2.78502011823426	-4.41362368315826	1.1464924988501	-3.84967515058756	0.000118274582496546	0.0279296713547761
Cluster-2467.0_A0.TRINITY_DN4019_c102_g1_i1	2.74103306660516	-4.42636626569185	1.18520030925809	-3.73469887842223	0.000187939923556915	0.0414565753194161
Cluster-24924.0_A1.NODE_144168_length_1037_cov_15.606186_g72521_i0	10.282222175396	-5.78080087216043	1.52468568533258	-3.79147054882952	0.000149757909610326	0.0341337018214556
Cluster-26082.3_A0.TRINITY_DN187196_c0_g1_i5	12.6482089695705	6.4467382195399	1.73455797095969	3.71664615854441	0.000201884872051698	0.0440170375375352
Cluster-319.0_A1.NODE_6690_length_9222_cov_10.299072_g3553_i0	74.1187676319896	-24.4820991884295	2.99597885600115	-8.17165286042997	3.04192759861459e-16	2.10226500036548e-13
Cluster-322.0_A1.NODE_164574_length_880_cov_21.847478_g89774_i0	14.7042776230501	-7.46424685782312	1.69881663454891	-4.39379195259946	1.1139042277207e-05	0.00330353734338923
Cluster-34381.1_A0.TRINITY_DN13452_c1_g1_i1	119.579220695583	2.06381203447782	0.548231236943432	3.7644918702266	0.000166888097432955	0.0373044419453288
Cluster-482.0_A0.TRINITY_DN25819_c0_g1_i17	5.71045351193539	-6.09426604302315	1.58624215753819	-3.84195188235401	0.000122059768466057	0.0285398076618826
Cluster-4945.1_A0.TRINITY_DN486_c3_g1_i3	25.0168348590885	-23.0032628998742	2.86993818962061	-8.01524680324738	1.09916076138584e-15	6.9288059058422e-13
Cluster-50097.0_A0.TRINITY_DN18785_c0_g1_i4	24.9360508119315	6.29281219528446	1.44694368401608	4.34903739848283	1.36736394944253e-05	0.0039616477934435
Cluster-521.0_A1.NODE_753971_length_247_cov_1.555556_g674566_i0	2.69946965540676	-5.01618488498406	1.16036406987618	-4.32294054530603	1.53963235056611e-05	0.00441827562483695
Cluster-52127.0_A0.TRINITY_DN91878_c0_g1_i1	9.91551671695626	6.69103497801446	1.64232990414557	4.07411139572198	4.61903700057557e-05	0.0121873817070002
Cluster-54725.0_A1.NODE_133579_length_1140_cov_4.432432_g64166_i0	2.53388447868125	4.0807313223196	1.10708766804045	3.68600558033721	0.000227801357518524	0.0486123579637157
Cluster-60030.1_A1.NODE_34740_length_4346_cov_31.091143_g11108_i5	104.615136456674	-4.87406601455275	1.1973200554765	-4.07081297290474	4.68493522356907e-05	0.0123181091770976
Cluster-64583.0_A0.TRINITY_DN12806_c0_g1_i5	8.4991308591049	6.46849954032908	1.47852618941775	4.37496446571325	1.21452261015385e-05	0.0035807976892988
Cluster-661.0_A1.NODE_229021_length_604_cov_1.528864_g150252_i0	4.18396783323567	-5.64496013994562	1.51356645984679	-3.72957533725809	0.000191802754058487	0.0421236313756524
Cluster-67752.1_A1.NODE_35745_length_4264_cov_29.905647_g8612_i1	65.3251146236104	-1.56666688656663	0.28477281022584	-5.50146232473592	3.76654105734232e-08	1.46631346035694e-05
Cluster-69119.2_A0.TRINITY_DN13780_c1_g1_i1	8.74333350434459	2.65272149246451	0.719001684604115	3.68945101140495	0.000224738497299967	0.0480949961146531
Cluster-72313.1_A1.NODE_63041_length_2699_cov_11.905015_g24414_i0	22.5597118508901	5.8258121784523	1.23396134589438	4.72122744998119	2.34425607953643e-06	0.00075145378018485
Cluster-73097.0_A0.TRINITY_DN254611_c0_g1_i1	6.66472147953515	6.11284638992516	1.54044870835303	3.96822455481866	7.24100874345745e-05	0.0179133519914705
Cluster-7391.0_A1.NODE_62736_length_2712_cov_9.746692_g24299_i0	15.0566298526726	-6.91398750364264	1.46292293750666	-4.72614607808839	2.28821068276367e-06	0.00073505230971107
Cluster-7607.3_A0.TRINITY_DN23801_c0_g1_i31	9.26842469334112	6.59465158623674	1.55933083407936	4.22915486701721	2.34570835918746e-05	0.00650832551909437
Cluster-7607.3_A0.TRINITY_DN23801_c0_g1_i5	13.7122816340696	-7.36603781056289	1.58897759948227	-4.63570903262761	3.55716046537916e-06	0.00111882722036234
Cluster-77216.1_A0.TRINITY_DN1989_c0_g1_i41	310.781970203985	2.76745363329254	0.575140737593489	4.81178510302045	1.49588150119024e-06	0.000497501128229184
Cluster-791.0_A0.TRINITY_DN3597_c0_g1_i11	9.27078488792944	-6.79964175302395	1.58414194573046	-4.29231848279138	1.76817083975431e-05	0.00501677684645093
Cluster-80718.1013_A0.TRINITY_DN5210_c0_g1_i4	74.4151666045756	-9.80476236347993	1.80282397142525	-5.43855779537289	5.37135862470844e-08	2.05914381435102e-05
Cluster-80718.10411_A1.NODE_2021_length_12952_cov_123.881645_g1202_i0	150.963883116197	3.64941333402282	0.93105430846042	3.9196567814153	8.86751605801334e-05	0.0214675063003719
Cluster-80718.10557_A1.NODE_77528_length_2195_cov_356.198308_g25689_i4	4.60260413270558	-3.21718240528432	0.839380429585232	-3.83280606967933	0.00012668982557655	0.0293194507396889
Cluster-80718.1091_A0.TRINITY_DN3925_c0_g1_i39	15.7556015207173	7.35614273307373	1.56524005111085	4.69968981936866	2.60556938237512e-06	0.000831678977922146
Cluster-80718.11055_A0.TRINITY_DN394_c0_g1_i12	24.224747510725	7.97325740855774	0.976588466274553	8.16439849937382	3.23040823737442e-16	2.20221753228323e-13
Cluster-80718.11429_A1.NODE_42841_length_3746_cov_103.908399_g16100_i1	7.65157501082679	3.26065242067708	0.749212572639581	4.35210585053231	1.34836131486652e-05	0.00392926049006722
Cluster-80718.11656_A0.TRINITY_DN465_c1_g1_i4	8.44866365680069	6.45561162300305	1.59224687527398	4.05440370036351	5.02623506210714e-05	0.0129444025337094
Cluster-80718.11706_A0.TRINITY_DN3683_c0_g1_i10	43.0837811435322	-9.01539133786271	2.29862023441067	-3.92208821748848	8.77848376615524e-05	0.0213315739633094
